Company_Name,ship_name,built_year,gt,gt2,dwt,length,width,height,a_lenght,a_area,v_displaced,draught,depth_ofhole,v_ship,Q,time,time in min,y
SEAUNITY,Bulk Carrier,2010,9.3074,93074,181360,292,45,67.5,67,5,9086.551937,0.07,0.43,886950,14.51550895,60477.62095,10.07960349,11
TRUE CAPTAIN,Bulk Carrier,2016,9.2992,92992,180981,292,45,67.5,67,7,9078.546509,0.07,0.43,886950,20.32171253,43198.69462,7.199782436,8
EREIKOUSSA,Bulk Carrier,2012,9.2865,92865,178896,292,45,67.5,67,14,9066.147857,0.07,0.43,886950,40.64342505,21599.65237,3.599942061,5
LAKE D,Bulk Carrier,2011,9.2752,92752,181458,292,45,67.5,67,20,9055.115986,0.07,0.43,886950,58.06203579,15119.94666,2.51999111,4
KINOKAWA MARU,Bulk Carrier,2013,9.2752,92752,181392,292,45,67.5,67,6,9055.115986,0.07,0.43,886950,17.41861074,50399.82219,8.399970366,9
BERGE MAWSON,Bulk Carrier,2015,9.2732,92732,181160,292,45,67.5,67,16,9053.163443,0.07,0.43,886950,46.44962863,18899.97536,3.149995893,4
THALASSINI NJORD,Bulk Carrier,2016,9.2696,92696,181218,292,45,67.5,67,17,9049.648864,0.07,0.43,886950,49.35273042,17788.28332,2.964713886,4
NAVIOS CANARY,Bulk Carrier,2015,9.2379,92379,180528,292,45,67.5,67,15,9018.701049,0.07,0.43,886950,43.54652684,20160.76511,3.360127518,4
GOLDEN BEIJING,Bulk Carrier,2010,9.227,92270,175820,292,45,67.5,67,10,9008.059686,0.07,0.43,886950,29.03101789,30241.51421,5.040252369,6
SKAGEN MAERSK,Container Ship,1999,9.2198,92198,110387,347,43,64.5,64,6,9001.03053,0.06,0.44,962404.5,17.61998865,54109.19885,9.018199808,10
OOCL UTAH,Container Ship,2015,9.2111,92111,101279,335,43,64.5,64,14,8992.536965,0.06,0.44,929122.5,41.11330685,22380.34431,3.730057385,5
CAPE SUN,Bulk Carrier,2010,9.205,92050,175611,292,45,67.5,67,9,8986.581707,0.07,0.43,886950,26.12791611,33602.50449,5.600417415,7
CIC ROLACO,Bulk Carrier,2012,9.1971,91971,175641,292,45,67.5,67,5,8978.86916,0.07,0.43,886950,14.51550895,60485.03942,10.0808399,11
CAPE SANDRA,Bulk Carrier,2011,9.191,91910,175607,290,45,67.5,67,12,8972.913902,0.07,0.43,880875,34.83722147,25027.88825,4.171314709,5
MALINDI,Bulk Carrier,2008,9.1739,91739,177987,292,45,67.5,67,4,8956.219655,0.07,0.43,886950,11.61240716,75608.24973,12.60137495,14
CAPE SHANGHAI,Bulk Carrier,2012,9.1625,91625,176460,292,45,67.5,67,9,8945.090157,0.07,0.43,886950,26.12791611,33604.09251,5.600682085,7
OOCL TAIPEI,Container Ship,2015,9.1499,91499,101147,335,43,64.5,64,13,8932.789132,0.06,0.44,929122.5,38.17664207,24103.47429,4.017245716,5
AFALES,Bulk Carrier,2012,9.1407,91407,177935,292,45,67.5,67,16,8923.807432,0.07,0.43,886950,46.44962863,18902.76023,3.150460038,4
EDWARD N,Bulk Carrier,2011,9.1374,91374,176216,292,45,67.5,67,7,8920.585735,0.07,0.43,886950,20.32171253,43206.46762,7.201077937,8
CASTA DIVA,Bulk Carrier,2011,9.1373,91373,177807,292,45,67.5,67,15,8920.488108,0.07,0.43,886950,43.54652684,20163.02046,3.360503411,4
LILA NINGBO,Bulk Carrier,2002,9.1178,91178,175775,282,45,67.5,67,11,8901.450808,0.07,0.43,856575,31.93411968,26544.44705,4.424074509,5
COSCO VIETNAM,Container Ship,2011,9.1051,91051,102875,334,43,64.5,64,12,8889.052157,0.06,0.44,926349,35.2399773,26034.63504,4.33910584,5
BILBAO KNUTSEN,LNG Tanker,2004,9.0835,90835,77217,284,43,64.5,64,10,8867.964686,0.07,0.43,787674,29.03101789,26826.68717,4.471114528,5
BAO CHANG HAI,Bulk Carrier,1990,9.0633,90633,173329,290,46,69,68,9,8848.243997,0.07,0.93,920460,38.42483572,23724.54531,3.954090885,5
HONORSHIP,Bulk Carrier,2010,9.0423,90423,180242,289,45,67.5,67,5,8827.742289,0.07,0.43,877837.5,14.51550895,59867.67401,9.977945668,11
MARAN TRANSPORTER,Bulk Carrier,2010,9.0136,90136,179719,292,45,67.5,67,19,8799.723289,0.07,0.43,886950,55.158934,15920.36345,2.653393908,4
MARAN ASTRONOMER,Bulk Carrier,2012,9.0104,90104,179719,292,45,67.5,67,18,8796.59922,0.07,0.43,886950,52.25583221,16804.88787,2.800814645,4
WINNING LOYALTY,Bulk Carrier,2004,9.0091,90091,180310,289,45,67.5,67,6,8795.330066,0.07,0.43,877837.5,17.41861074,49891.58912,8.315264853,9
BRAVE SAILOR,Bulk Carrier,2011,8.9991,89991,176283,292,45,67.5,67,16,8785.567348,0.07,0.43,886950,46.44962863,18905.73635,3.150956059,4
